"['106709923', '116.0630809', '39.71724745']"
"['106094280', '116.0505836', '39.73813456']"
"['106094280', '116.0507159', '39.73817687']"
"['106094280', '116.0505836', '39.73813456']"
"['106094280', '116.0507159', '39.73817687']"
"['106094280', '116.0505836', '39.73813456']"
"['106094280', '116.0507159', '39.73817687']"
"['106094280', '116.0505836', '39.73813456']"
"['106094280', '116.0507159', '39.73817687']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['8630583859', '116.0459155', '39.73605442']"
"['8630583859', '116.0459316', '39.73596744']"
"['106000068', '116.05658', '39.85299926']"
"['106000068', '116.056591', '39.85301628']"
"['226624703', '116.0537266', '39.88478692']"
"['226624703', '116.0536175', '39.88534572']"
"['226624703', '116.0537266', '39.88478692']"
"['226624703', '116.0536175', '39.88534572']"
"['226624703', '116.0537266', '39.88478692']"
"['226624703', '116.0536175', '39.88534572']"
"['226624703', '116.0537266', '39.88478692']"
"['226624703', '116.0536175', '39.88534572']"
"['226624703', '116.0537266', '39.88478692']"
"['226624703', '116.0536175', '39.88534572']"
"['226624703', '116.0537266', '39.88478692']"
"['226624703', '116.0536175', '39.88534572']"
"['106527485', '116.0510955', '39.97157273']"
"['106527485', '116.0512619', '39.9715931']"
"['8650073495', '116.0541951', '39.98981225']"
"['8650073495', '116.0539365', '39.9898497']"
"['106140685', '116.0520227', '40.01834275']"
"['106140685', '116.0519204', '40.01852553']"
"['106140685', '116.0520227', '40.01834275']"
"['106140685', '116.0519204', '40.01852553']"
"['106011861', '116.0689951', '39.62242524']"
"['106011861', '116.0689921', '39.62260327']"
"['106011861', '116.0689951', '39.62242524']"
